strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color,isolation_year,isolation_year:color
S-SA-R1-CJ-B-271-1-97,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-22-1-22,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-293-1-103,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-37-1-82,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-LS-30-CJ-B-202-1-35,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-FF-R2-CJ-C-2-1-1-46,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-143-1-49,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-141-1-48,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-7-1-52,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12592,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,rpsL_K43R,#0000ff,2022,#A3BCE2
S-SA-03-CJ-B-43-1-87,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-SA-R1-CJ-B-128-1-41,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000,2019,#D7E7AF
S-SA-02-CJ-B-25-1-70,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-8-1-53,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12552,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2022,#A3BCE2
S-SA-02-CJ-B-44-1-44,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-40-1-85,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-03-CJ-B-32-1-76,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-SA-R1-CJ-B-299-1-105,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
HP12158,ST-21 complex,#E60012,Human,#FF0000,tet(O)^,#67991C,gyrA_T86I,#916523,None,#CCCCCC,"aadE,rpsL_K43R,ant(6)-Ia^,aph(3')-IIIa",#FF0080,2018,#FFF9B1
HP12236,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12655,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
S-SA-R1-CJ-B-150-1-53,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-FF-R2-CJ-C-4-1-1-90,ST-61 complex,#00A0E9,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
SC41,ST-61 complex,#00A0E9,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
S-SA-R1-CJ-B-216-1-78,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-36-1-10,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-20-1-65,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-03-CJ-B-43-1-43,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O/M/O)^,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
HP12216,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12215,ST-61 complex,#00A0E9,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-02-CJ-B-32-1-32,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-6-1-51,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff,2020,#A5D4AD
S-SA-R1-CJ-B-181-1-62,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-03-CJ-B-29-1-29,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-SA-02-CJ-B-25-1-25,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-18-1-18,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-144-1-50,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-LS-30-CJ-B-204-1-37,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-02-CJ-B-15-1-116,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12248,ST-61 complex,#00A0E9,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-R1-CJ-B-155-1-57,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-1-1-1,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-32-1-77,ST-61 complex,#00A0E9,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-15-1-15,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-7-1-96,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-164-1-59,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-29-1-29,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-323-1-116,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-9-1-98,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-208-1-74,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000,2019,#D7E7AF
S-SA-R1-CJ-B-151-1-54,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000,2019,#D7E7AF
S-FF-R3-CJ-C-10-1-1-109,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-LS-30-CJ-C-55-1-1-28,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000,2018,#FFF9B1
S-LS-30-CJ-B-208-1-40,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-FF-R1-CJ-C-6-1-1-32,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-FF-R2-CJ-C-2-1-1-38,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12225,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12533,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
HP12515,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
HP12528,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-LS-30-CJ-B-233-1-45,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-B-163-1-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-02-CJ-B-31-1-31,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-19-1-19,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-6-1-3,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-44-1-13,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-2-1-1,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-206-1-72,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-34-1-79,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K88R,#FF0080,2020,#A5D4AD
S-SA-R1-CJ-B-48-1-17,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-FF-R2-CJ-C-3-1-1-40,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-FF-R1-CJ-C-7-1-1-34,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-33-1-33,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
SC13,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
S-SA-R1-CJ-B-265-1-95,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-24-1-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-309-1-109,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-249-1-90,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
HP12646,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
SC46,ST-21 complex,#E60012,Chicken_meat,#00FF00,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
S-SA-02-CJ-B-35-1-80,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-FF-R2-CJ-C-4-1-1-42,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff,2020,#A5D4AD
S-SA-02-CJ-B-28-1-28,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-27-1-72,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-184-1-63,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-LS-30-CJ-B-243-1-49,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-R1-CJ-B-223-1-80,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
HP12545,ST-21 complex,#E60012,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2022,#A3BCE2
S-SA-02-CJ-B-33-1-78,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12589,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2022,#A3BCE2
S-SA-02-CJ-B-31-1-76,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-101-1-36,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-6-1-95,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-291-1-102,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-175-1-61,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-45-1-14,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-131-1-43,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,50S_L22_G86E,#FF0080,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-153-1-56,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-R1-CJ-B-210-1-75,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,rpsL_K43R,#0000ff,2019,#D7E7AF
S-SA-02-CJ-B-8-1-109,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC,2020,#A5D4AD
S-SA-02-CJ-B-16-1-117,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC,2020,#A5D4AD
S-LS-30-CJ-B-197-1-32,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-B-198-1-33,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-R1-CJ-B-61-1-24,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-LS-30-CJ-B-213-1-41,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12503,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
S-SA-R1-CJ-B-39-1-11,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-SA-02-CJ-B-5-1-5,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
HP12535,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
HP12170,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12219,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-SA-R1-CJ-B-91-1-34,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
HP12622,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
HP12653,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
HP12564,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2022,#A3BCE2
HP12511,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
SC32,ST-21 complex,#E60012,Chicken_meat,#00FF00,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
HP12633,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
HP12151,ST-21 complex,#E60012,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12148,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12140,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-FF-R2-CJ-C-2-1-1-19,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-SA-R1-CJ-B-215-1-77,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
SC45,ST-21 complex,#E60012,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2023,#CFA7CD
HP12501,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2021,#9FD9F6
HP12223,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-FF-R1-CJ-C-5-1-1-65,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-FF-R1-CJ-C-6-1-1-67,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
HP12155,ST-21 complex,#E60012,Human,#FF0000,tet(O)*,#67991C,"gyrA_D90N,gyrA_T86I",#FFCCCC,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-C-22-2-1-14,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-FF-R2-CJ-C-1-1-1-21,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
S-FF-R1-CJ-C-1-1-1-14,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-LS-30-CJ-C-7-1-1-1,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-C-38-1-1-17,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12156,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12166,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
HP12154,ST-21 complex,#E60012,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2018,#FFF9B1
