isolateID,ST,ST:colour,Geography,Geography:colour,Source,Source:colour,Human,Human:colour,Food,Food:colour,Animal,Animal:colour,ESBL_AmpC,ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour
30-Sal-C-107-1-1-132,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-95-1-1-114,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-14-1-1-13,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-153-1-1-191,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,blaEC-15*,#00A0E9,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
2212002,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_chicken meat with unknown origin,#00ADA9,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R2-S-C-60,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R2-S-C-114,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
2212121,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-136-1-1-171,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-22-1-1-22,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
